date,price_egx30,return_egx30,vol20,dd120,sma200_dist,f1_breadth,f2_basis_smoothed,f3_rate_mom,f4_fx_vel,f4_fx_acc,f5_hhi,f6_herding,f7_panic,f8_illiq_smoothed,f9_ratio,f10_spread,f11_concentration,f12_fx_strain,g1_vix_level,g1_vix_zscore,g2_vix_delta5,g2_vix_accel20,g3_eem_ret20,g3_eem_dd60,g4_dxy_mom20,g4_dxy_mom60,g5_us10y_surge20,g6_wheat_shock20,g6_oil_shock20,g6_commodity_composite,g7_peer_ret20,g7_peer_dd60,target_mae_60,target_mdd_60,target_severe_18,target_crash_25,target_mae_10,target_tactical_drop8,b1_vol_alert,b2_dd_alert,b3_sma_alert,b4_composite_alert,b_vix_alert,hazard_state,is_onset,is_in_risk_set
1998-01-04,998.39,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.05,0.0,0.0,0.35,0.0,23.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1094,0.1094,0,0,0.0318,0,0,0,0,0,0,0,0,1
1998-01-05,996.25,-0.00214,0.0,-0.0021,0.0,0.4,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.05,0.0,0.0,0.35,0.0,23.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1075,0.1075,0,0,0.033,0,0,0,0,0,0,0,0,1
1998-01-06,992.87,-0.00339,0.0,-0.0055,0.0,0.4,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.05,0.0,0.0,0.35,0.0,24.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1045,0.1045,0,0,0.0324,0,0,0,0,0,0,0,0,1
1998-01-07,989.35,-0.00355,0.0,-0.0091,0.0,0.4,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0375,0.0,0.0,0.35,0.0,25.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1013,0.1013,0,0,0.0351,0,0,0,0,0,0,0,0,1
1998-01-08,984.38,-0.00502,0.0,-0.014,0.0,0.4,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.04,0.0,0.0,0.35,0.0,25.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0967,0.0967,0,0,0.0317,0,0,0,0,0,0,0,0,1
1998-01-11,980.63,-0.00381,0.0,-0.0178,0.0,0.4,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.03333,0.0,0.0,0.35,0.0,28.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0933,0.0933,0,0,0.0338,0,0,0,0,0,0,0,0,1
1998-01-12,971.15,-0.00967,0.0,-0.0273,0.0,0.4,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.02857,0.0,0.0,0.35,0.0,28.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0844,0.0844,0,0,0.0331,0,0,0,0,0,0,0,0,1
1998-01-13,966.69,-0.00459,0.0,-0.0318,0.0,0.4,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.025,0.0,0.0,0.35,0.0,28.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0802,0.0841,0,0,0.0441,0,0,0,0,0,0,0,0,1
1998-01-14,967.85,0.0012,0.0,-0.0306,0.0,0.4,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.04435,0.0,0.0,0.35,0.0,25.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0813,0.0841,0,0,0.0569,0,0,0,0,0,0,0,0,1
1998-01-15,970.21,0.00244,0.0,-0.0282,0.0,0.4,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.03992,0.0,0.0,0.35,0.0,23.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0835,0.0841,0,0,0.0835,1,0,0,0,0,0,0,0,1
1998-01-18,970.85,0.00066,0.0,-0.0276,0.0,0.4,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.03629,0.0,0.0,0.35,0.0,21.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0841,0.0841,0,0,0.0841,1,0,0,0,0,0,0,0,1
1998-01-19,963.4,-0.00767,0.0,-0.035,0.0,0.4,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.03743,0.0,0.0,0.35,0.0,21.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0771,0.0771,0,0,0.0771,0,0,0,0,0,0,0,0,1
1998-01-20,960.73,-0.00277,0.0,-0.0377,0.0,0.4,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.03455,0.0,0.0,0.35,0.0,21.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0745,0.0745,0,0,0.0745,0,0,0,0,0,0,0,0,1
1998-01-21,954.59,-0.00639,0.0,-0.0439,0.0,0.4,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.03208,0.0,0.0,0.35,0.0,21.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0685,0.0685,0,0,0.0685,0,0,0,0,0,0,0,0,1
1998-01-22,953.17,-0.00149,0.0,-0.0453,0.0,0.4,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.03328,0.0,0.0,0.35,0.0,22.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0672,0.0672,0,0,0.0672,0,0,0,0,0,0,0,0,1
1998-01-25,947.48,-0.00597,0.0,-0.051,0.0,0.4,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0312,0.0,0.0,0.35,0.0,23.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0616,0.0616,0,0,0.0616,0,0,0,0,0,0,0,0,1
1998-01-26,939.03,-0.00892,0.0,-0.0595,0.0,0.4,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.03916,0.0,0.0,0.35,0.0,23.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0531,0.0531,0,0,0.0531,0,0,0,0,0,0,0,0,1
1998-01-27,924.06,-0.01594,0.0,-0.0744,0.0,0.4,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.03976,0.0,0.0,0.35,0.0,23.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0378,0.0581,0,0,0.0378,0,0,0,0,0,0,0,0,1
1998-02-01,912.81,-0.01217,0.0,-0.0857,0.0,0.4,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.04818,0.0,0.0,0.35,0.0,21.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0259,0.0762,0,0,0.0259,0,0,0,0,0,0,0,0,1
1998-02-02,889.16,-0.02591,0.1021,-0.1094,0.0,0.4,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.04577,0.0,0.0,0.35,0.0,21.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0762,0,0,-0.0,0,0,0,0,0,0,0,0,1
1998-02-03,901.59,0.01398,0.1216,-0.097,0.0,0.4,0.0,0.0,0.0,0.0,0.15,0.0,0.1194,0.04327,0.0,0.0,0.35,0.0,21.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.098,0.0,0.0,0.0,0.0,0.0,0.0056,0.0762,0,0,-0.0,0,0,0,0,0,0,0,0,1
