episode_id,start_date,end_date,duration,peak_v4_score,avg_v4_score,is_valid_warning,matched_crisis_onset,lead_days_to_onset,category,fwd_ret_5d,fwd_ret_10d,fwd_ret_25d,mae_25d,mfe_25d,is_near_miss,is_hard_false_alarm
1,2008-01-03,2008-01-22,12,1.0,1.0,False,,-999,FALSE_ALARM,0.0489,0.0918,0.1775,-0.1015,0.0286,True,False
2,2008-03-11,2008-03-27,12,1.0,1.0,True,2008-05-05,35,TRUE_ALERT,0.0229,0.0463,0.0616,-0.0356,0.0357,False,False
3,2008-05-20,2008-06-04,12,1.0,1.0,True,2008-05-05,-11,TRUE_ALERT,-0.0391,-0.0481,-0.136,-0.0358,0.0357,False,False
4,2008-07-27,2008-08-11,12,1.0,1.0,True,2008-08-06,8,TRUE_ALERT,-0.0301,-0.0389,-0.1116,-0.1791,0.0037,False,False
5,2008-09-29,2008-10-21,12,1.0,1.0,True,2008-08-06,-38,TRUE_ALERT,-0.1337,-0.0525,-0.3106,-0.3534,0.0,False,False
6,2008-12-14,2008-12-30,12,1.0,1.0,True,2009-01-05,14,TRUE_ALERT,0.0327,-0.0358,-0.2447,-0.1213,0.0998,False,False
7,2009-02-19,2009-03-08,12,0.9892,0.9849,False,,-999,FALSE_ALARM,0.0539,0.139,0.3708,-0.0313,0.2082,False,True
8,2009-04-29,2009-05-14,12,0.9989,0.9963,True,2009-06-16,34,TRUE_ALERT,0.0126,0.0065,0.095,0.0,0.2297,False,False
9,2009-07-05,2009-07-20,12,0.9955,0.9932,True,2009-06-16,-12,TRUE_ALERT,0.0511,0.1016,0.1454,-0.114,0.1142,False,False
10,2009-09-08,2009-09-27,12,0.9989,0.998,True,2009-10-26,31,TRUE_ALERT,-0.032,-0.0121,-0.009,-0.0043,0.0605,False,False
11,2009-11-16,2009-12-03,12,0.9967,0.996,True,2009-10-26,-15,TRUE_ALERT,-0.03,0.0146,0.0144,-0.1182,0.0,False,False
12,2010-01-24,2010-02-09,12,1.0,0.9999,False,,-999,FALSE_ALARM,0.0166,-0.0536,-0.0693,-0.0132,0.0609,False,True
13,2010-03-30,2010-04-18,12,0.9997,0.9852,True,2010-04-27,17,TRUE_ALERT,0.0235,-0.0125,-0.1477,-0.0095,0.1147,False,False
14,2010-06-08,2010-06-23,12,0.9694,0.9417,False,,-999,FALSE_ALARM,-0.0452,-0.0462,-0.0003,-0.0733,0.0371,False,True
15,2010-08-12,2010-08-29,12,1.0,0.9999,False,,-999,FALSE_ALARM,0.0093,0.0232,0.0588,-0.0079,0.0449,False,True
16,2010-10-20,2010-11-04,12,1.0,0.9949,False,,-999,FALSE_ALARM,-0.0002,0.0171,0.0264,-0.018,0.0362,False,True
17,2010-12-29,2011-01-16,12,0.937,0.8938,True,2011-01-05,5,TRUE_ALERT,-0.0544,-0.3009,-0.2516,-0.3004,0.0189,False,False
18,2011-05-26,2011-06-12,12,0.9739,0.965,True,2011-06-19,16,TRUE_ALERT,0.0212,-0.0132,-0.045,-0.0236,0.04,False,False
19,2011-08-04,2011-08-21,12,0.9953,0.9753,True,2011-06-19,-33,TRUE_ALERT,0.0117,0.0292,-0.1086,-0.1057,0.0,False,False
20,2011-11-30,2011-12-06,5,0.9915,0.9035,False,,-999,FALSE_ALARM,-0.0293,-0.079,-0.0613,-0.1079,0.0169,True,False
21,2012-02-29,2012-03-15,12,0.9732,0.966,True,2012-03-22,16,TRUE_ALERT,-0.0047,-0.0292,-0.0427,-0.0956,0.0191,False,False
22,2012-05-14,2012-05-21,6,0.9257,0.8872,True,2012-03-22,-33,TRUE_ALERT,-0.0288,-0.0551,-0.0546,-0.1925,0.0,False,False
23,2012-07-12,2012-07-30,12,0.9684,0.9454,False,,-999,FALSE_ALARM,0.0537,0.0588,0.1562,-0.0199,0.0756,False,True
24,2012-09-19,2012-10-04,12,0.9749,0.9543,True,2012-09-26,5,TRUE_ALERT,-0.0005,-0.0016,-0.0073,-0.0583,0.0098,False,False
25,2012-11-28,2012-12-13,12,0.9823,0.9263,True,2012-09-26,-41,TRUE_ALERT,0.0542,0.0493,0.0925,-0.0016,0.1908,False,False
26,2013-07-02,2013-07-08,5,0.9263,0.8756,False,,-999,FALSE_ALARM,0.0372,0.0642,0.0413,-0.0032,0.1282,False,True
27,2013-09-01,2013-09-16,12,0.9587,0.9398,False,,-999,FALSE_ALARM,0.0191,0.0142,0.0954,-0.0247,0.0877,False,True
28,2013-11-12,2013-11-27,12,0.9766,0.9722,False,,-999,FALSE_ALARM,0.0123,0.0457,0.0976,-0.0238,0.0608,False,True
29,2014-01-20,2014-02-04,12,0.9685,0.9597,False,,-999,FALSE_ALARM,0.029,0.0595,0.1128,0.0,0.1432,False,True
30,2014-03-25,2014-04-09,12,0.9758,0.9623,False,,-999,FALSE_ALARM,0.0402,0.0512,0.1146,-0.115,0.0,True,False
31,2014-06-04,2014-06-22,12,0.9789,0.9562,False,,-999,FALSE_ALARM,-0.0294,-0.0005,0.0585,-0.0056,0.0776,False,True
32,2014-08-17,2014-09-01,12,0.966,0.9556,False,,-999,FALSE_ALARM,0.0266,-0.0006,0.0106,-0.0135,0.0302,False,True
33,2014-11-06,2014-11-23,12,0.9807,0.9636,False,,-999,FALSE_ALARM,0.0036,0.028,-0.057,-0.0327,0.0167,False,True
34,2015-05-21,2015-05-27,5,0.9619,0.8077,True,2015-05-24,1,TRUE_ALERT,-0.0068,-0.0365,-0.0835,-0.0647,0.0149,False,False
