episode_id,start_date,end_date,duration,max_v4_score,avg_v4_score,score_slope,internal_score,external_score,realized_volatility,volatility_accel,breadth,liquidity_stress,global_stress_breadth,peer_em_return20,egx_eem_delta_beta,fwd_ret_5d,fwd_ret_10d,fwd_ret_25d,mae_25d,mfe_25d,dist_to_nearest_onset,nearest_onset_date,cluster_type,is_near_miss,is_hard_false_alarm
1,2008-01-03,2008-01-16,8,1.0,1.0,0.0833,0.0709,0.0003,0.178,0.5076,0.5635,0.0035,0.9,-0.0534,-0.1236,-0.07,-0.0531,-0.0148,-0.1015,0.0286,74,2008-05-05,G_NearMiss_Correction,True,False
2,2008-02-14,2008-02-25,8,1.0,1.0,0.0,0.0033,0.0001,0.2561,-1.0523,0.5504,0.0032,0.0,0.0689,0.1906,-0.0042,0.0035,0.0211,0.0,0.119,46,2008-05-05,E_Duplicate_PrematureWave,False,True
3,2009-02-25,2009-03-08,8,0.9892,0.9834,-0.0016,0.1461,0.0425,0.3619,-0.0555,0.1481,0.0097,1.0,-0.0823,-0.044,0.0539,0.139,0.3708,-0.0126,0.225,-43,2009-01-05,F_PostCrisis_Contamination,False,True
4,2009-04-07,2009-04-16,8,0.9989,0.9968,0.0002,0.5911,0.5207,0.3359,-0.267,0.922,0.0062,0.05,0.1486,0.0692,0.0128,0.0381,0.1652,-0.0088,0.2359,41,2009-06-16,F_PostCrisis_Contamination,False,True
5,2009-08-09,2009-08-18,8,0.9985,0.997,-0.0,0.6914,0.4489,0.2414,-0.4252,0.8169,0.0043,0.25,0.1388,-0.0718,0.0631,0.0476,0.1128,-0.0588,0.0314,-43,2009-06-16,F_PostCrisis_Contamination,False,True
6,2009-12-10,2009-12-21,8,0.9996,0.9967,0.0001,0.5923,0.1588,0.4446,1.8746,0.0483,0.0072,0.225,0.0156,0.6114,-0.0402,-0.0137,0.0273,-0.0063,0.0815,-38,2009-10-26,F_PostCrisis_Contamination,False,True
7,2010-01-20,2010-02-01,8,1.0,0.9998,0.0,0.8821,0.36,0.1752,-1.301,0.6573,0.006,0.6,0.0122,-0.1331,0.0289,0.032,-0.0041,-0.0463,0.0253,58,2010-04-27,F_PostCrisis_Contamination,False,True
8,2010-03-02,2010-03-11,8,0.9605,0.9447,-0.0007,0.4372,0.3482,0.1877,0.7431,0.3288,0.0049,0.05,0.0335,-0.1277,-0.0234,-0.0006,0.0919,-0.0483,0.0858,30,2010-04-27,E_Duplicate_PrematureWave,False,True
9,2010-05-27,2010-06-07,8,0.9905,0.9483,0.002,0.2574,0.2144,0.4175,1.1668,0.0282,0.01,0.35,-0.0448,-0.0885,-0.0018,0.0373,-0.0446,-0.0697,0.0334,-29,2010-04-27,F_PostCrisis_Contamination,False,True
10,2010-07-07,2010-07-18,8,0.9608,0.9481,0.0008,0.2794,0.6244,0.2301,-0.8848,0.0616,0.007,0.125,0.0159,-0.1267,0.023,0.0651,0.0681,-0.0052,0.0869,-57,2010-04-27,F_PostCrisis_Contamination,False,True
11,2010-08-16,2010-08-25,8,1.0,0.9999,-0.0,0.8994,0.1943,0.1352,0.12,0.5629,0.004,0.5,0.0037,-0.0354,0.0138,0.0148,0.0517,0.0,0.0627,-85,2010-04-27,C_GlobalStress_NoTransmission,False,True
12,2010-09-27,2010-10-07,8,1.0,1.0,0.0,0.9503,0.7104,0.1236,0.951,0.7483,0.0038,0.0,0.0838,-0.0018,0.0,-0.0105,-0.0169,-0.01,0.0332,60,2011-01-05,B_Prolonged_HarmlessRegime,False,True
13,2010-11-07,2010-11-21,8,0.9956,0.9628,-0.0014,0.5405,0.3165,0.1235,0.7372,0.4156,0.0167,0.2,0.0705,0.0312,-0.0196,-0.0234,0.0063,-0.0214,0.0246,32,2011-01-05,E_Duplicate_PrematureWave,False,True
14,2011-03-27,2011-04-05,8,0.9934,0.9313,0.0002,0.0544,0.8199,0.5772,1.8732,0.0714,0.0157,0.375,-0.0259,0.1902,-0.049,-0.0712,-0.0746,-0.0491,0.0665,-24,2011-01-05,F_PostCrisis_Contamination,False,True
15,2011-11-30,2011-12-11,8,0.9915,0.8941,0.0028,0.2134,0.3372,0.3484,0.4975,0.2125,0.0156,0.175,-0.0307,0.0965,-0.0457,-0.0707,-0.0218,-0.1079,0.0169,-58,2011-09-12,G_NearMiss_Correction,True,False
16,2012-01-15,2012-01-24,8,0.944,0.9016,-0.0041,0.4511,0.3714,0.2043,-0.4351,0.1608,0.0094,0.0,0.0796,-0.1293,0.1335,0.1493,0.2983,-0.002,0.3418,40,2012-03-22,F_PostCrisis_Contamination,False,True
17,2012-07-05,2012-07-16,8,0.9552,0.944,-0.0029,0.708,0.4782,0.445,1.5621,0.3935,0.0124,0.15,0.051,-0.1911,0.0166,0.0257,0.1002,-0.0507,0.0202,49,2012-09-26,F_PostCrisis_Contamination,False,True
18,2013-01-06,2013-01-16,8,0.9678,0.9485,-0.0032,0.6067,0.6321,0.2128,-1.8818,0.475,0.0067,0.0,0.0861,0.8896,-0.0003,-0.0148,-0.0112,-0.0416,0.0232,-74,2012-09-26,F_PostCrisis_Contamination,False,True
19,2013-07-02,2013-07-11,8,0.9263,0.8572,0.0004,0.263,0.6281,0.401,1.1868,0.1103,0.0143,0.725,-0.0856,0.316,0.0132,0.0076,0.0214,-0.0032,0.1282,-194,2012-09-26,D_LocalDeterioration_NoFollowThrough,False,True
20,2013-09-01,2013-09-10,8,0.9494,0.9363,0.0039,0.5996,0.3477,0.2139,-0.9644,0.6486,0.0071,0.35,0.0522,0.0889,0.026,0.0504,0.1466,-0.0247,0.0877,-233,2012-09-26,B_Prolonged_HarmlessRegime,False,True
21,2013-10-20,2013-10-29,8,0.9582,0.9499,0.0023,0.711,0.3462,0.1258,-0.0239,0.9458,0.0047,0.075,0.0677,-0.1331,0.0452,0.0259,0.0306,0.0,0.0741,-263,2012-09-26,B_Prolonged_HarmlessRegime,False,True
22,2013-11-28,2013-12-09,8,0.9725,0.9676,-0.001,0.7909,0.4,0.1578,0.7078,0.509,0.0057,0.425,-0.0132,0.1283,0.0272,0.0398,0.1044,0.0,0.1109,-291,2012-09-26,C_GlobalStress_NoTransmission,False,True
23,2014-01-09,2014-01-21,8,0.9763,0.9583,-0.0007,0.8442,0.3996,0.1336,0.2757,0.4878,0.005,0.425,0.0058,-0.0953,0.0397,0.0283,0.133,0.0,0.0883,-319,2012-09-26,C_GlobalStress_NoTransmission,False,True
24,2014-02-19,2014-03-02,8,0.9732,0.9659,-0.001,0.8608,0.2646,0.1251,0.3536,0.8118,0.0046,0.35,0.0073,0.0594,-0.0168,0.0063,-0.0683,0.0,0.0843,301,2015-05-24,B_Prolonged_HarmlessRegime,False,True
25,2014-03-31,2014-04-09,8,0.966,0.9601,-0.0017,0.8099,0.2258,0.2378,0.7924,0.1497,0.0066,0.0,0.0871,-0.2586,0.0402,0.0512,0.1146,-0.036,0.0725,273,2015-05-24,D_LocalDeterioration_NoFollowThrough,False,True
26,2014-05-14,2014-05-25,8,0.9758,0.9659,0.0004,0.8034,0.31,0.1376,-0.746,0.4217,0.0045,0.075,0.0495,0.2639,-0.0853,-0.0223,-0.0708,-0.0676,0.035,245,2015-05-24,G_Other,False,True
27,2014-06-25,2014-07-07,8,0.9755,0.9575,-0.0,0.8002,0.5117,0.2479,0.0324,0.1963,0.007,0.175,0.0266,-0.071,0.0238,0.0192,0.1363,-0.0014,0.1195,217,2015-05-24,D_LocalDeterioration_NoFollowThrough,False,True
28,2014-08-11,2014-08-20,8,0.966,0.9621,-0.0002,0.8027,0.1594,0.1358,-1.0422,0.7143,0.0037,0.225,-0.0004,-0.1461,-0.0067,0.0201,0.0298,0.0,0.0527,189,2015-05-24,B_Prolonged_HarmlessRegime,False,True
29,2014-10-15,2014-10-26,8,0.9789,0.9507,0.0002,0.7628,0.0675,0.2255,1.0883,0.1472,0.0065,0.575,-0.0561,-0.0233,0.0606,0.0682,0.0607,-0.0416,0.0716,145,2015-05-24,D_LocalDeterioration_NoFollowThrough,False,True
30,2014-11-24,2014-12-03,8,0.9794,0.9693,-0.0016,0.8422,0.1746,0.1501,-0.8588,0.3237,0.0048,0.5,0.0047,-0.137,0.0107,-0.1268,-0.0425,-0.1127,0.046,117,2015-05-24,G_NearMiss_Correction,True,False
31,2015-01-08,2015-01-19,8,0.9306,0.8231,-0.0162,0.5854,0.0442,0.3128,-0.0945,0.1718,0.0083,0.35,0.0213,0.1663,0.0362,0.037,0.0013,-0.0041,0.1229,86,2015-05-24,D_LocalDeterioration_NoFollowThrough,False,True
32,2016-01-17,2016-01-27,8,0.9975,0.9878,0.0128,0.5625,0.1702,0.37,-0.5057,0.0798,0.0071,0.925,-0.0936,-0.2622,0.0178,0.0171,0.0195,-0.0081,0.0767,-67,2015-10-21,F_PostCrisis_Contamination,False,True
33,2016-03-31,2016-04-11,8,0.956,0.9165,-0.0017,0.7941,0.4063,0.2751,-1.0111,0.6176,0.0039,0.425,0.008,-0.1109,0.0436,0.0741,0.0214,-0.0258,0.0481,-120,2015-10-21,C_GlobalStress_NoTransmission,False,True
34,2018-02-15,2018-02-26,8,0.9298,0.8117,-0.0055,0.5237,0.207,0.1555,0.9767,0.4734,0.0027,0.1,-0.0142,0.1808,0.0165,0.0834,0.1443,0.0,0.154,121,2018-08-30,B_Prolonged_HarmlessRegime,False,True
35,2018-05-06,2018-05-15,8,0.9843,0.9476,0.0126,0.7223,0.2698,0.1669,0.5305,0.3099,0.0022,0.525,-0.0376,-0.2694,-0.0193,0.0012,-0.0377,-0.0966,0.0116,69,2018-08-30,G_NearMiss_Correction,True,False
36,2018-06-14,2018-06-27,8,0.9615,0.9534,0.0,0.5734,0.156,0.1888,0.2341,0.1921,0.0028,0.875,-0.0696,-0.0048,-0.0032,-0.0183,-0.0272,-0.0638,0.0146,40,2018-08-30,E_Duplicate_PrematureWave,False,True
37,2018-11-26,2018-12-05,8,0.957,0.9097,0.0124,0.563,0.1661,0.2146,-0.7098,0.3125,0.0021,0.175,0.0162,-0.004,0.0215,0.039,0.0746,-0.0697,0.0207,-66,2018-08-30,F_PostCrisis_Contamination,False,True
38,2019-09-23,2019-10-02,8,0.9922,0.9593,0.0138,0.6646,0.5479,0.2952,1.3883,0.0926,0.0045,0.425,0.0719,0.0247,-0.0055,-0.0122,0.0288,-0.0424,0.0541,88,2020-02-09,D_LocalDeterioration_NoFollowThrough,False,True
